An,Autovehicule pentru transportul marfurilor,Autobuze si microbuze,Autoturisme (inclusiv taxiuri),Remorci si semiremorci
Y2004,73774,19741,269551,36929
Y2005,81798,19825,292994,40379
Y2006,84087,21056,319311,43909
Y2007,94828,21095,338944,46903
Y2008,115967,21491,366351,49583
Y2009,120174,21346,386365,51917
Y2010,131243,21395,404290,54127
Y2011,141696,21349,426973,56482
Y2012,151830,21433,456379,58827
Y2013,154163,21344,487418,60797
Y2014,160199,21359,512561,63076
Y2015,164533,21134,529813,64953
Y2016,168618,20968,546781,66832
Y2017,173384,20944,588119,69326
Y2018,179392,21050,616800,71454
Y2019,185669,21087,648780,74115
